order,msec,section,location,manuscript,computed,note
21.0,The Perception and Memory-based Choice Model (PMCM),PMCM Bayesian p-values  (posterior probability mass; one-tailed),"Evidence noise 1st-vs-2nd, both sessions (model-12, session-avg)",p_Bayesian < 0.001,p_Bayesian < 0.001,
22.2,The Perception and Memory-based Choice Model (PMCM),PMCM Bayesian p-values  (posterior probability mass; one-tailed),"Prior mean risky vs safe, both sessions (model-12, session-avg)",p_Bayesian = 0.16,p_Bayesian = 0.156,
38.2,Decoded payoff representations in parietal cortex predict noisiness and bias,PMCM Bayesian p-values  (posterior probability mass; one-tailed),"Neural reg: noisiness 1st option (v1), both sessions (model-neural32, session-avg sd-slope)",p_Bayesian = 0.009,p_Bayesian = 0.009,
39.2,Decoded payoff representations in parietal cortex predict noisiness and bias,PMCM Bayesian p-values  (posterior probability mass; one-tailed),"Neural reg: SD prior on safe payoffs, both sessions (model-neural32, session-avg sd-slope)",p_Bayesian = 0.004,p_Bayesian = 0.004,
22.0,The Perception and Memory-based Choice Model (PMCM),PMCM Bayesian p-values  (posterior probability mass; one-tailed),"Prior mean risky vs safe, 3T (refit model-1)",p_Bayesian = 0.16,p_Bayesian = 0.446,differs from manuscript (superseded older fit); claim unchanged (n.s.)
22.1,The Perception and Memory-based Choice Model (PMCM),PMCM Bayesian p-values  (posterior probability mass; one-tailed),"Prior mean risky vs safe, 7T (refit model-1)",p_Bayesian = 0.37,p_Bayesian = 0.628,differs from manuscript (superseded older fit); claim unchanged (n.s.)
38.0,Decoded payoff representations in parietal cortex predict noisiness and bias,PMCM Bayesian p-values  (posterior probability mass; one-tailed),"Neural reg: noisiness 1st option (v1), 3T (model-neural32 session decomposition)",p_Bayesian = 0.02,p_Bayesian = 0.043,3T/7T differ from manuscript (older fit); both reproduces
38.1,Decoded payoff representations in parietal cortex predict noisiness and bias,PMCM Bayesian p-values  (posterior probability mass; one-tailed),"Neural reg: noisiness 1st option (v1), 7T (model-neural32 session decomposition)",p_Bayesian = 0.04,p_Bayesian = 0.044,3T/7T differ from manuscript (older fit); both reproduces
39.0,Decoded payoff representations in parietal cortex predict noisiness and bias,PMCM Bayesian p-values  (posterior probability mass; one-tailed),"Neural reg: SD prior on safe payoffs, 3T (model-neural32 session decomposition)",p_Bayesian = 0.02,p_Bayesian = 0.042,3T/7T differ from manuscript (older fit); both reproduces
39.1,Decoded payoff representations in parietal cortex predict noisiness and bias,PMCM Bayesian p-values  (posterior probability mass; one-tailed),"Neural reg: SD prior on safe payoffs, 7T (model-neural32 session decomposition)",p_Bayesian = 0.01,p_Bayesian = 0.016,3T/7T differ from manuscript (older fit); both reproduces
32.0,Decoded payoff representations in parietal cortex predict noisiness and bias,"Correlations  (r, 95% CI, p)   [Nature requires CI for correlations]","Decoding accuracy (actual vs decoded numerosity), 3T","r = 0.176, t(29) = 7.1, p < 0.001","mean r = 0.176, 95% CI [0.13, 0.23], t(29) = 7.1, p < 0.001",
33.0,Decoded payoff representations in parietal cortex predict noisiness and bias,"Correlations  (r, 95% CI, p)   [Nature requires CI for correlations]","Decoded uncertainty vs decoder error, 3T","r = 0.33, t(29) = 9.8, p < 0.001","mean r = 0.332, 95% CI [0.26, 0.40], t(29) = 9.8, p < 0.001",
34.0,Decoded payoff representations in parietal cortex predict noisiness and bias,"Correlations  (r, 95% CI, p)   [Nature requires CI for correlations]","Decoding correlation vs v1 (1st-option noise), 3T","r(29) = -0.48, p = 0.007","r(28) = -0.500, 95% CI [-0.73, -0.17], p = 0.005","manuscript df should be 28, not 29"
35.0,Decoded payoff representations in parietal cortex predict noisiness and bias,"Correlations  (r, 95% CI, p)   [Nature requires CI for correlations]","Mean decoded SD vs v1 (1st-option noise), 3T","r(29) = 0.44, p = 0.014","r(28) = 0.461, 95% CI [0.12, 0.70], p = 0.010","manuscript df should be 28, not 29"
32.1,Decoded payoff representations in parietal cortex predict noisiness and bias,"Correlations  (r, 95% CI, p)   [Nature requires CI for correlations]","Decoding accuracy (actual vs decoded numerosity), 7T","r = 0.16, t(29) = 8.0, p < 0.001","mean r = 0.165, 95% CI [0.12, 0.21], t(29) = 8.0, p < 0.001",
33.1,Decoded payoff representations in parietal cortex predict noisiness and bias,"Correlations  (r, 95% CI, p)   [Nature requires CI for correlations]","Decoded uncertainty vs decoder error, 7T","r = 0.38, t(29) = 18.8, p < 0.001","mean r = 0.379, 95% CI [0.34, 0.42], t(29) = 18.8, p < 0.001",
34.1,Decoded payoff representations in parietal cortex predict noisiness and bias,"Correlations  (r, 95% CI, p)   [Nature requires CI for correlations]","Decoding correlation vs v1 (1st-option noise), 7T","r(29) = -0.42, p = 0.021","r(28) = -0.406, 95% CI [-0.67, -0.05], p = 0.026","manuscript df should be 28, not 29"
35.1,Decoded payoff representations in parietal cortex predict noisiness and bias,"Correlations  (r, 95% CI, p)   [Nature requires CI for correlations]","Mean decoded SD vs v1 (1st-option noise), 7T","r(29) = 0.38, p = 0.039","r(28) = 0.406, 95% CI [0.05, 0.67], p = 0.026","manuscript df should be 28, not 29"
41.0,Choices in symbolic presentation format,"Correlations  (r, 95% CI, p)   [Nature requires CI for correlations]",Symbolic: choice consistency vs indifference point,"r(57) = 0.34, p = 0.00822","r(56) = 0.344, 95% CI [0.09, 0.55], p = 0.008",verified value from analyze_probit_models.ipynb cell 9 (df corrected 57->56; live recompute unavailable: TypeError)
20.0,The Perception and Memory-based Choice Model (PMCM),"Correlations  (r, 95% CI, p)   [Nature requires CI for correlations]","PMCM parameter test-retest reliability, range over 6 params (refit model-1)",r(29) between 0.41 and 0.76 (all p<0.05),r(28) between 0.46 and 0.76 (all p < 0.05),"manuscript df should be 28, not 29"
30.0,Decoded payoff representations in parietal cortex predict noisiness and bias,Surface nPRF test-retest  (one-sample t on per-subject correlations),"Vertex-wise R^2 test-retest, 3T vs 7T (analyze_encoding.ipynb cell 17)","r = 0.25, t(29) = 6.2, p < 0.001","mean r = 0.28, 95% CI [0.19, 0.38], t(29) = 6.2, p < 0.001",from recovered manuscript-era run; needs cluster recompute to refresh
31.0,Decoded payoff representations in parietal cortex predict noisiness and bias,Surface nPRF test-retest  (one-sample t on per-subject correlations),"Preferred-numerosity test-retest, 3T vs 7T (analyze_encoding.ipynb cell 18)","r = 0.15, t(29) = 6.0, p < 0.001","mean r = 0.16, 95% CI [0.11, 0.21], t(29) = 6.0, p < 0.001",from recovered manuscript-era run; needs cluster recompute to refresh
10.0,Different noise contexts shift risk attitudes,Other reported values (verified from recovered notebooks / summaries),"RNP differs between presentation orders, all stake sizes (summary)",p_Bayesian < 0.05,p_Bayesian < 0.05 (summary across stake sizes),summary/criterion across multiple tests -- leave as-is (per brief); exact per-stake values could be substituted if desired
36.0,Decoded payoff representations in parietal cortex predict noisiness and bias,Other reported values (verified from recovered notebooks / summaries),"Psychophysical slope, high vs low neural uncertainty, 3T",p_Bayesian = 0.0458,p_Bayesian = 0.046,"analyze_neural_probit.ipynb (probit_neural4); verified, trace off-disk"
36.1,Decoded payoff representations in parietal cortex predict noisiness and bias,Other reported values (verified from recovered notebooks / summaries),"Psychophysical slope, high vs low neural uncertainty, 7T",p_Bayesian = 0.0238,p_Bayesian = 0.024,"analyze_neural_probit.ipynb (probit_neural4); verified, trace off-disk"
37.0,Decoded payoff representations in parietal cortex predict noisiness and bias,Other reported values (verified from recovered notebooks / summaries),"RNP distance from risk-neutral, high vs low neural uncertainty, both",p_Bayesian < 0.001,p_Bayesian < 0.001,analyze_neural_probit.ipynb probit_neural9 cell 28; verified
37.1,Decoded payoff representations in parietal cortex predict noisiness and bias,Other reported values (verified from recovered notebooks / summaries),"RNP distance from risk-neutral, high vs low neural uncertainty, 3T",p_Bayesian = 0.012,p_Bayesian = 0.012,analyze_neural_probit.ipynb cell 9; verified
37.2,Decoded payoff representations in parietal cortex predict noisiness and bias,Other reported values (verified from recovered notebooks / summaries),"RNP distance from risk-neutral, high vs low neural uncertainty, 7T",p_Bayesian = 0.013,p_Bayesian = 0.013,analyze_neural_probit.ipynb cell 18; verified
